chunk_id,carrera,codigo_ramo,nombre_ramo,semestre,tipo_documento,ruta_archivo,fuente_legible,pagina_aproximada,texto
Ingenier_a_Civil_Industrial_ING120_ING120_0000,Ingeniería Civil Industrial,ING120,TALLER FUNDAMENTOS DE LA INGENIERÍA,,programa_asignatura,data/carreras/ingenieria_civil_industrial/pdf/programas/ING120.pdf,TALLER FUNDAMENTOS DE LA INGENIERÍA (ING120) — ING120.pdf,1,"[Página 1]
Publicado por: DIRECCIÓN DE CATÁLOGO CURRICULAR
Fecha: 07 marzo 2023
Página: 1 de 3
FAC.  DE  INGENIERÍA  Y  NEGOCIOS,
INGENIERÍA  
Programa: ING120 
TALLER FUNDAMENTOS DE LA INGENIERÍA 
Versión: 202310 
PROGRAMA DE ASIGNATURA: TALLER FUNDAMENTOS DE LA INGENIERÍA - ING120.
1. IDENTIFICACIÓN DE LA ASIGNATURA
Sigla ING120 
Nombre TALLER FUNDAMENTOS DE LA INGENIERÍA 
Créditos Totales (SCUDLA) 6 
Vigencia de la Asignatura Desde 202210 
Última Actualización 07/03/2023 
Modalidad Educativa E-SUPPORT 
Régimen Asignatura DIURNO, VESPERTINO, EXECUTIVE 
Requisito  
DISTRIBUCIÓN DE HORAS TOTALES DE LA ASIGNATURA
 
Cátedra Laboratorio Ayudantía Taller Prácticas Trabajo
Personal
Trabajo Personal en
Entornos Virtuales Total
36 0 18 36 0 72 0 162 
 2. DESCRIPCIÓN DE LA ASIGNATURA
Esta Asignatura busca proporcionar al estudiante una mirada moderna de la ingeniería, a través de una aproximación vivencial, entregando
herramientas prácticas y habilidades para la resolución de problemas de la vida cotidiana o del mundo de las organizaciones, centrada en los aspectos
científicos y tecnológicos de una determinada situación, se requiere que incorpore otras perspectivas tales como la ecológica y la social, entre otras, a fin
de que tome consciencia que su actuar tiene impacto sobre el entorno natural y el social.
Estas exigencias imponen preparar un ingeniero con nuevas capacidades, que pueda mirar tanto las situaciones que debe resolver, como su
eventual solución, de una manera amplia. E"
Ingenier_a_Civil_Industrial_ING120_ING120_0001,Ingeniería Civil Industrial,ING120,TALLER FUNDAMENTOS DE LA INGENIERÍA,,programa_asignatura,data/carreras/ingenieria_civil_industrial/pdf/programas/ING120.pdf,TALLER FUNDAMENTOS DE LA INGENIERÍA (ING120) — ING120.pdf,1,"encia que su actuar tiene impacto sobre el entorno natural y el social.
Estas exigencias imponen preparar un ingeniero con nuevas capacidades, que pueda mirar tanto las situaciones que debe resolver, como su
eventual solución, de una manera amplia. Esto requiere considerar que el problema lo tiene alguien y que para buscar una solución requiere trabajar en
equipo, estando dispuesto a nuevos aprendizajes para resolverlo, y que debe comunicar durante el desarrollo de la solución. Este curso constituye un
primer acercamiento a la ingeniería, desde una perspectiva moderna, y privilegia una aproximación vivencial y experimental, por sobre la cognitiva. El
curso busca desarrollar de manera intuitiva en los alumnos, el razonamiento que caracteriza a los ingenieros, frente a una situación-problema, sumando a
ello las nuevas perspectivas demandas por la sociedad.
Esta asignatura está inserta en el PROGRAMA PÚLSAR de la Facultad de Ingeniería y Negocios. Lo que implica un énfasis en el desarrollo de las
habilidades de (i) trabajo en equipo, (ii) foco en el cliente (comunidad), (iii) autoaprendizaje y (iv) expresión efectiva a través de las estrategias
de enseñanzaaprendizaje utilizadas durante el curso. Saberes conceptuales, procedimentales y actitudinales más importantes.
Conceptual (Saber): .El estudiante debe saber identificar alguna problemática, dificultad u opción de mejora en algún proceso u operación dentro de
la organización, definiendo a quien o quienes afecta este problema,"
Ingenier_a_Civil_Industrial_ING120_ING120_0002,Ingeniería Civil Industrial,ING120,TALLER FUNDAMENTOS DE LA INGENIERÍA,,programa_asignatura,data/carreras/ingenieria_civil_industrial/pdf/programas/ING120.pdf,TALLER FUNDAMENTOS DE LA INGENIERÍA (ING120) — ING120.pdf,1,"y actitudinales más importantes.
Conceptual (Saber): .El estudiante debe saber identificar alguna problemática, dificultad u opción de mejora en algún proceso u operación dentro de
la organización, definiendo a quien o quienes afecta este problema, debe utilizar una metodología de resolución de esta situación desarrollando
las habilidades de foco en la comunidad que quiere impactar, expresión efectiva, trabajo en equipo y auto aprendizaje.
Procedimentales/Instrumentales (Saber hacer):
Actitudinales (Ser):.debe adoptar una actitud pro activa e investigativa, frente a las problemáticas que se presentan en las organizaciones. Debe
estar dispuesto a realizar un trabajo colaborativo y en equipo para potenciar esta solución. Debe tener una actitud abierta frente a los comentarios y
propuestas de otros compañeros. Debe poseer una actitud colaborativa en post de lograr los resultados de aprendizaje de la asignatura. Debe mantener
una postura formal frente a las exposiciones y presentaciones grupales. Debe fomentar una el respeto y la capacidad de escuchar a sus compañeros en
las exposiciones. Debe desarrollar capacidad de autoaprendizaje en el transcurso de la asignatura. Debe desarrollar la solución pensando en los beneficios
de la comunidad u organización.
Requisitos de la asignatura:
No tiene requisitos, es una asignatura de primer semestre.
 
 3. RESULTADOS DE APRENDIZAJE
Resultados  de
Aprendizaje Descripción
RAA1 Organizar y mantener grupos de trabajo para lograr objetivos o t"
Ingenier_a_Civil_Industrial_ING120_ING120_0003,Ingeniería Civil Industrial,ING120,TALLER FUNDAMENTOS DE LA INGENIERÍA,,programa_asignatura,data/carreras/ingenieria_civil_industrial/pdf/programas/ING120.pdf,TALLER FUNDAMENTOS DE LA INGENIERÍA (ING120) — ING120.pdf,1,"nidad u organización.
Requisitos de la asignatura:
No tiene requisitos, es una asignatura de primer semestre.
 
 3. RESULTADOS DE APRENDIZAJE
Resultados  de
Aprendizaje Descripción
RAA1 Organizar y mantener grupos de trabajo para lograr objetivos o tareas colectivas requeridas en la asignatura
RAA2 Diseñar e implementar planes de trabajo que permitan cumplir en objetivo de una tarea propuesta en la asignatura
RAA3 Aportar a la generación de un clima de confianza y respeto
RAA4 Identificar distintos tipos de clientes en diversos contextos
RAA5 Identificar las necesidades de un eventual cliente, con el fin de satisfacer sus requerimientos, a través de metodologías y estrategias
propias de la carrera
RAA6 Identificar las necesidades de un eventual cliente, con el fin de satisfacer sus requerimientos, a través de metodologías y estrategias
propias de la carrera
RAA7 Utilizar correctamente la ortografía literal, acentual y puntual en todos los productos académicos solicitados en la asignatura.
RAA8 Utilizar convenciones de presentación y diseño en todas las presentaciones orales, informes escritos y correos electrónicos que sean
requeridos en la asignatura.
RAA9 Ajustar los mensajes considerando las características del receptor y su contexto.
RAA10 Utilizar fuentes de información confiables y diversas (bibliotecas, expertos, centros de documentación, páginas web y otros) cuando
los productos académicos solicitados en la asignatura lo requieran
RAA11 Utilizar fuentes de información"
Ingenier_a_Civil_Industrial_ING120_ING120_0004,Ingeniería Civil Industrial,ING120,TALLER FUNDAMENTOS DE LA INGENIERÍA,,programa_asignatura,data/carreras/ingenieria_civil_industrial/pdf/programas/ING120.pdf,TALLER FUNDAMENTOS DE LA INGENIERÍA (ING120) — ING120.pdf,1,"ntexto.
RAA10 Utilizar fuentes de información confiables y diversas (bibliotecas, expertos, centros de documentación, páginas web y otros) cuando
los productos académicos solicitados en la asignatura lo requieran
RAA11 Utilizar fuentes de información confiables y diversas (bibliotecas, expertos, centros de documentación, páginas web y otros) cuando
los productos académicos solicitados en la asignatura lo requieran
 4. APORTES AL PERFIL DE EGRESO
Los aportes al perfil de egreso de las asignaturas transversales deben ser verificados en la matriz de tributación. 
 5. CONTENIDOS, ACTIVIDADES Y ACTITUDES
5.1 Contenido: Cátedra

[Página 2]
Publicado por: DIRECCIÓN DE CATÁLOGO CURRICULAR
Fecha: 07 marzo 2023
Página: 2 de 3
N° Unidad Tema
1 Introducción al curso.
Introducción
• Presentación del curso. Explicar el proyecto del curso. Los criterios de evaluación. Técnicas de resolución de problemas.
• Exponer y discutir acerca de equipos de trabajo y de la heterogeneidad de las personas.
Identificación de problemas
• Profundizar en casos en que equipos heterogéneas llegan a situaciones innovadoras. Introducir los perfiles de personas
según el test del eneagrama. Revisión de la cápsula de aprendizaje ""¿Cómo hacer una lluvia de ideas?"".
Identificación de la comunidad y sus necesidades
• ""¿Qué entiende la UDLA por foco en la organización o comunidad? Una mirada moderna de la ingeniería: la necesidad de
responder a múltiples necesidades del entorno. Mecanismos para entender los requerimien"
Ingenier_a_Civil_Industrial_ING120_ING120_0005,Ingeniería Civil Industrial,ING120,TALLER FUNDAMENTOS DE LA INGENIERÍA,,programa_asignatura,data/carreras/ingenieria_civil_industrial/pdf/programas/ING120.pdf,TALLER FUNDAMENTOS DE LA INGENIERÍA (ING120) — ING120.pdf,2,"ificación de la comunidad y sus necesidades
• ""¿Qué entiende la UDLA por foco en la organización o comunidad? Una mirada moderna de la ingeniería: la necesidad de
responder a múltiples necesidades del entorno. Mecanismos para entender los requerimientos de las comunidades. Revisión
de las cápsulas """"¿Cómo hacer un mapa de la empatía?"""" y """"¿Cómo hacer una entrevista?"""".
Búsqueda de una solución
• Revisión de la cápsula de aprendizaje ""Aprendiendo de otros"".
Expresión personal.
• Importancia de expresar ideas. Conceptos básicos de una buena presentación.
2  Identificación  de
stakeholders.
Identificación de stakeholders
• Definir el concepto de stakeholders. Identificación de stakeholders. Presentar la herramienta matriz de interés/poder.
Negociación.
• La importancia de negociar. Revisión del enfoque ganar-ganar. Revisión de los 7 elementos de una negociación.
Innovación
• La importancia de innovar. Defición del concepto de innovación. Grados de innovación. Mecanismos de protección de la
innovación.
Evaluación financiera y planificación de actividades
• Cómo evaluar financieramente un proyecto. Revisión de conceptos: flujo de caja, costos, ingresos e inversión. Revisión de
la cápsula ""¿Cómo confeccionar una carta Gantt?"".
Revisión de la solución propuesta y autoevaluación del proyecto.
• ¿Cuáles son las fortalezas y debilidades del proyecto? ¿Es escalable la solución? ¿Se pueden extrapolar a otras comunidads
u organizaciones? ¿Qué se debe mejorar para alcanzar el éxito? ¿En q"
Ingenier_a_Civil_Industrial_ING120_ING120_0006,Ingeniería Civil Industrial,ING120,TALLER FUNDAMENTOS DE LA INGENIERÍA,,programa_asignatura,data/carreras/ingenieria_civil_industrial/pdf/programas/ING120.pdf,TALLER FUNDAMENTOS DE LA INGENIERÍA (ING120) — ING120.pdf,2,"de la solución propuesta y autoevaluación del proyecto.
• ¿Cuáles son las fortalezas y debilidades del proyecto? ¿Es escalable la solución? ¿Se pueden extrapolar a otras comunidads
u organizaciones? ¿Qué se debe mejorar para alcanzar el éxito? ¿En qué etapa se tomaron decisiones clave para el resultado
final? ¿Cómo ha sido el trabajo en equipo?
3  Prueba  de  concepto.
Identificación  de  KPIs.
Prueba de concepto
• Importancia de realizar una prueba de concepto. Definición de una PoC. Aspectos esenciales de una PoC. Cómo ejecutar
una PoC.
Identificación de KPIs
• La importancia de medir el desempeño. Revisión del concepto de KPI. Revisión de la cápsula de aprendizaje ""Generación
de indicadores de desempeño"".
Mapa conceptual
• Revisar la cápsula de aprendizaje ""¿Cómo realizar un mapa conceptual?"".
5.2 Contenido: Trabajo Personal
N° Unidad Tema
1 Introducción al curso.
• Introducción al curso
• Identificación de problemas
• Identificación de la comunidad y sus necesidades
• Búsqueda de una solución
• Expresión personal.
2  Identificación  de
stakeholders.
• Identificación de stakeholders
• Negociación.
• Innovación
• Evaluación financiera y planificación de actividades
• Revisión de la solución propuesta y autoevaluación del proyecto.
3  Prueba  de  concepto.
Identificación  de  KPIs.
• Prueba de concepto
• Identificación de KPIs
• Mapa conceptual
 6. ESTRATEGIAS METODOLÓGICAS
Metodología
Para lograr sus objetivos, el foco del curso está en el trabajo que desarrollan los alumn"
Ingenier_a_Civil_Industrial_ING120_ING120_0007,Ingeniería Civil Industrial,ING120,TALLER FUNDAMENTOS DE LA INGENIERÍA,,programa_asignatura,data/carreras/ingenieria_civil_industrial/pdf/programas/ING120.pdf,TALLER FUNDAMENTOS DE LA INGENIERÍA (ING120) — ING120.pdf,2,"to.
3  Prueba  de  concepto.
Identificación  de  KPIs.
• Prueba de concepto
• Identificación de KPIs
• Mapa conceptual
 6. ESTRATEGIAS METODOLÓGICAS
Metodología
Para lograr sus objetivos, el foco del curso está en el trabajo que desarrollan los alumnos del curso en la búsqueda de una solución a un problema, con lo
que se les expondrá a situaciones similares a las que enfrenta un ingeniero al resolver un problema real, iniciando de esta forma el desarrollo de las esta
habilidad que caracteriza a los ingenieros.
El curso entrega una metodología de resolución de problemas, cuyo fundamento considera que un problema siempre lo tiene alguien y que para buscar una
solución es necesario, trabajar en equipo, realizar nuevos aprendizajes y considerar una permanente comunicación, tanto en el proceso de desarrollo de la
solución, como en los resultados finales.
De esta forma, la metodología obliga a enfocarse en:
• A quién(es) se les resuelve el problema.
• Las necesidades que deben satisfacerse.
• Que se entregará a quien tiene el problema.
• Cuándo se entregará y con qué elementos contará la solución.
• Qué se logrará.
El trabajo es desarrollado por los alumnos organizados en grupos a lo largo del semestre. A través de esta actividad, los alumnos junto con conocer y poner
en práctica una metodología, desarrollan las habilidades de foco en el cliente, expresión efectiva, trabajo en equipo y autoaprendizaje, que son las
propiciadas por la FINE. En este contexto, el rol del docente se des"
Ingenier_a_Civil_Industrial_ING120_ING120_0008,Ingeniería Civil Industrial,ING120,TALLER FUNDAMENTOS DE LA INGENIERÍA,,programa_asignatura,data/carreras/ingenieria_civil_industrial/pdf/programas/ING120.pdf,TALLER FUNDAMENTOS DE LA INGENIERÍA (ING120) — ING120.pdf,2,"lumnos junto con conocer y poner
en práctica una metodología, desarrollan las habilidades de foco en el cliente, expresión efectiva, trabajo en equipo y autoaprendizaje, que son las
propiciadas por la FINE. En este contexto, el rol del docente se desplaza del tradicional rol de catedrático o entregador de contenidos, al de guía de los
grupos o facilitador. Para el desarrollo de la actividad se debe pedir a los alumnos que conformen grupos de 4 a 6 personas (serán los grupos definitivos),
los que deben decidir acerca de algún problema que les gustaría solucionar. Este problema, se enfocará en el desarrollo del levantamiento de la
información y el diseño de una propuesta de solución a un problema de una “comunidad”. Definiremos como comunidad a: “Cualquier organización de
carácter público o social sin fines de lucro, como por ejemplo: Municipios, Unidades Vecinales, organizaciones privadas sin fines de lucro, ministerios, etc..
En caso de que el equipo de trabajo no encuentre algún problema a resolver, el profesor podrá sugerir algunos.
El trabajo es desarrollado por los alumnos organizados en grupos a lo largo del semestre.
A través de esta actividad, los alumnos junto con conocer y poner en práctica una metodología, desarrollan las habilidades de foco en el cliente (comunidad
u organización afectada), expresión efectiva, trabajo en equipo y autoaprendizaje, que son las propiciadas por la FINE.
Los alumnos inician el desarrollo del proyecto, según el avance del desarrollo de l"
Ingenier_a_Civil_Industrial_ING120_ING120_0009,Ingeniería Civil Industrial,ING120,TALLER FUNDAMENTOS DE LA INGENIERÍA,,programa_asignatura,data/carreras/ingenieria_civil_industrial/pdf/programas/ING120.pdf,TALLER FUNDAMENTOS DE LA INGENIERÍA (ING120) — ING120.pdf,2,"s habilidades de foco en el cliente (comunidad
u organización afectada), expresión efectiva, trabajo en equipo y autoaprendizaje, que son las propiciadas por la FINE.
Los alumnos inician el desarrollo del proyecto, según el avance del desarrollo de los contenidos del curso. Los estudiantes deberán entregar informes
parciales de sus avances, correspondientes a las cátedras del curso

[Página 3]
Publicado por: DIRECCIÓN DE CATÁLOGO CURRICULAR
Fecha: 07 marzo 2023
Página: 3 de 3
 7. EVALUACIÓN
    7.1. PONDERACIONES
Régimen Ponderación Componente % Componente Subcomponente % Subcomponente
EXECUTIVE 23-4
CATEDRA 60
CATEDRA 1 33.33
CATEDRA 2 33.33
CATEDRA 3 33.33
CATEDRA RECUPERATIVA 33.33
DIAGNOSTICO 5 CATEDRA DIAGNOSTICO 100
EXAMEN 35 EXAMEN 100
DIURNO Y VESPERTINO 32-4
CATEDRA 45
CATEDRA 1 33.33
CATEDRA 2 33.33
CATEDRA 3 33.33
CATEDRA RECUPERATIVA 33.33
DIAGNOSTICO 5 CATEDRA DIAGNOSTICO 100
EJERCICIO 20
EJERCICIO 1 25
EJERCICIO 2 25
EJERCICIO 3 25
EJERCICIO 4 25
EXAMEN 30 EXAMEN 100
    7.2. ESTRATEGIA EVALUATIVA
Componente
Evaluativo
Resultado(s) de
Aprendizaje
Unidad que
se evalúa
Procedimiento
Evaluativo
Instrumento
Evaluativo
No hay registros
    7.3. DESCRIPCIÓN DE LA ESTRATEGIA EVALUATIVA Y NORMATIVA
Asignatura de seguimiento asociada al Plan de Acompañamiento Académico de Habilidades Comunicativas 
Esta asignatura se encuentra vinculada al Plan de Diagnóstico y Acompañamiento Académico Institucional que es parte del Sistema Integrado de Apoyo al
Estudiante (SIAE) de Univ"
